sexo_cliente,region_cliente,nacionalidad_cliente,direccion_cliente,edad_cliente,codigo_cliente,nombre_cliente,numero_hijos_cliente,puntos_acumulados_cliente,estado_civil_cliente,total_compras_cliente,fecha_nacimiento_cliente,profesion_cliente
Hombre,Norteamerica,Estados-Unidos,352-3rd-Ave -New-York--NY-10008,51,2752535K,Kennedy-Edgar,0,6,Divorciado/a,17,1967-04-13,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,Fraunhoferstr.-43--Munchen,43,0851994S,Stratton-Jhon,0,6,Soltero/a,6,1975-06-04,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,Keferstr.-12--Munchen,58,2490414M,Marrion-Alexander,1,7,Soltero/a,7,1960-10-11,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,1-Addison-Avenue--London-SW1,62,1966093H,Humphrey-Daniel,0,16,Soltero/a,12,1956-08-09,Doctores-&-Profesionales-de-la-Salud
Hombre,Sur-Europa,Espana,Concepcion-Arenal--6--3o--Madrid-28020,46,0851989M,Moreno-Muniesa-Ramon,0,10,Divorciado/a,1,1972-08-14,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,27-Rue-de-Gergovie---75001-Paris,52,1376298S,Shannon-Frederick,0,8,Casado/a,5,1966-04-29,Ingenieros-&-Especialistas
Empresa,Norteamerica,Estados-Unidos,168-Sullivan-St -New-York--NY-10008,45,3145733N,Nirut,NULL,13,NULL,16,1973-01-26,Catering
Hombre,Norteamerica,Estados-Unidos,2-World-Trade-Ctr-Fl-20 -New-York--NY-10013,79,2883598M,Mcgraw-Denis,2,8,Divorciado/a,2,1939-06-10,Architectos-Decoradores-&-Humanistas
Mujer,Norte-Europa,Reino-Unido,192-Kensington-Park-Road--London-SW1,65,0458804A,Adams-Judith,2,16,Casado/a,13,1953-10-13,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,7-bis-Rue-du-Debarcadere---75003-Paris,79,0983099J,Jones-Jennifer,3,6,Casado/a,6,1939-06-09,Architectos-Decoradores-&-Humanistas
Mujer,Norte-Europa,Reino-Unido,14-Rue-du-Docteur-Heulin---75003-Paris,91,0720929G,Grady-Eileen,0,19,Soltero/a,16,1927-05-28,Architectos-Decoradores-&-Humanistas
Mujer,Norteamerica,Estados-Unidos,439-Canal-St -New-York--NY-10013,42,3407910S,Shaver-Flora,0,7,Soltero/a,1,1976-03-08,Economistas-Abogados-&-Admin.Empresas
Empresa,Norte-Europa,Reino-Unido,50-Cheapside-Street--Liverpool-L69-3BX,73,0852000G,German,NULL,8,NULL,5,1945-05-04,Servicios
Empresa,Sur-Europa,Espana,via-Giulia--62-Roma,85,1310729T,Templeton,NULL,11,NULL,10,1933-04-07,Catering
Mujer,Sur-Europa,Espana,Ambaixador-D'Irles-50-08026-Barcelona,55,1048605T,Torrent-Leon-Juana,2,8,Divorciado/a,10,1963-09-29,Economistas-Abogados-&-Admin.Empresas
Mujer,Norteamerica,Estados-Unidos,189-Hester-St -New-York--NY-10017,85,2752550M,Miller-Mary,1,8,Casado/a,6,1933-04-06,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,65-Regent-Street--London-SW1,73,3670022K,King-Henry,0,6,Soltero/a,5,1945-12-19,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,Via-Ugo-Bassi-1/a --Milano,76,2031622B,Blasco-Heredia-Joan,0,12,Soltero/a,8,1942-11-22,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,81-Nicholson-Street--Liverpool-L69-2DH,51,2883616H,Holmes-Olivia,0,10,Casado/a,8,1967-11-21,Economistas-Abogados-&-Admin.Empresas
Mujer,Norte-Europa,Reino-Unido,35-Turnbull-Street--Liverpool-L69-3BX,54,2097173P,Price-Deborah,3,7,Casado/a,5,1964-12-17,Gerentes-&-Directivos
Empresa,Norte-Europa,Reino-Unido,20-22-Hogarth-Road--London-EC3,80,0262188N,Nirupam,NULL,25,NULL,21,1938-10-25,Catering
Hombre,Norte-Europa,Reino-Unido,22-Rue-d'Antin---75002-Paris,71,1048581G,Gadd-Charles,0,9,Divorciado/a,7,1947-06-10,Gerentes-&-Directivos
Hombre,Norteamerica,Estados-Unidos,254-Front-St -New-York--NY-10010,40,2621450S,Shannon-Daniel,0,13,Casado/a,8,1978-08-25,Economistas-Abogados-&-Admin.Empresas
Hombre,Norteamerica,Estados-Unidos,228-W-4th-St -New-York--NY-10011,39,2162729M,Marshall-Lewis,0,12,Soltero/a,6,1979-03-10,Doctores-&-Profesionales-de-la-Salud
Mujer,Norteamerica,Estados-Unidos,276-Canal-St-Fl-1 -New-York--NY-10016,70,1703956W,Wiffort-Jane,0,6,Casado/a,6,1948-12-27,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,29-Rue-Campagne-Premiere---75001-Paris,45,0589851M,Mcguire-Grant,1,24,Casado/a,22,1973-04-19,Ingenieros-&-Especialistas
Hombre,Sur-Europa,Espana,Viale-Amendola--34--Florencia,81,1703996E,Estrada-Guerrero-Javier,2,7,Viudo/a,8,1937-12-01,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,10-Rue-du-Bois-de-Boulogne---75003-Paris,80,1441849W,Wiffort-Henry,1,11,Casado/a,5,1938-09-18,Economistas-Abogados-&-Admin.Empresas
Hombre,Norteamerica,Estados-Unidos,455-Madison-Ave -New-York--NY-10010,40,2752539K,King-Joseph,0,15,Soltero/a,4,1978-06-16,Doctores-&-Profesionales-de-la-Salud
Hombre,Norte-Europa,Reino-Unido,Odeonsplatz-18--Munchen,47,1441832Y,Youngman-Arthur,0,10,Divorciado/a,2,1971-11-07,Economistas-Abogados-&-Admin.Empresas
Empresa,Norteamerica,Estados-Unidos,455-Madison-Ave -New-York--NY-10010,94,1900559L,Life,NULL,30,NULL,13,1924-11-06,Servicios
Mujer,Sur-Europa,Espana,Del-Bambu-82-08011-Barcelona,40,2818050P,Porta-Santamaria-Cecilia,0,6,Casado/a,5,1978-04-03,Doctores-&-Profesionales-de-la-Salud
Hombre,Norte-Europa,Reino-Unido,26-Sussex-Pl.(Lancaster-Gate)--London-W2,78,2818069A,Archer-William,3,8,Divorciado/a,3,1940-06-24,Ingenieros-&-Especialistas
Mujer,Sur-Europa,Espana,Via-Cimarosa-6 --Milano,83,1376310A,Alvarez-Arenas-Maria-del-Pilar,0,6,Divorciado/a,13,1935-02-13,Economistas-Abogados-&-Admin.Empresas
Hombre,Norteamerica,Estados-Unidos,975-NW-41st-St -Miami--FL-33024,99,0131103T,Trow-Edward,2,13,Casado/a,15,1919-12-07,Architectos-Decoradores-&-Humanistas
Mujer,Sur-Europa,Espana,Juan-Canto-13-08033-Barcelona,76,0983100M,Marques-Acereda-Eulalia,2,7,Divorciado/a,3,1942-08-25,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,Via-M.-Finiguerra--Florencia,80,0983057G,Gonzalez-Herrera-Irene,0,7,Casado/a,7,1938-11-14,Economistas-Abogados-&-Admin.Empresas
Empresa,Norte-Europa,Reino-Unido,20-22-Hogarth-Road--London-EC3,51,1900560C,Cantinori-Cafe,NULL,18,NULL,27,1967-09-02,Alimentacion
Hombre,Norteamerica,Estados-Unidos,220-W-31st-St -New-York--NY-10005,58,1441835N,Needham-Thomas,0,9,Casado/a,11,1960-08-17,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,55-Avenue-Raymond-Poincare---75015-Paris,86,3342386G,Grady-Deborah,0,6,Divorciado/a,2,1932-03-11,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,Gabrielenstrasse-6--Munchen,94,2687021P,Porter-Gregory,3,5,Casado/a,0,1924-10-30,Doctores-&-Profesionales-de-la-Salud
Empresa,Sur-Europa,Espana,Jaume-Roig-59-08027-Barcelona,58,3211270M,Magico-Bar,NULL,11,NULL,16,1960-10-10,Alimentacion
Hombre,Sur-Europa,Espana,Tio-Caram-56-08020-Barcelona,81,1310738R,Rovira-Soriano-Joan,3,10,Casado/a,9,1937-11-06,Ingenieros-&-Especialistas
Hombre,Norteamerica,Estados-Unidos,2275-W-Sthy-84 -Fort-Lauderdale--FL-33024,67,1900580W,Walsh-Gerald,0,9,Casado/a,7,1951-06-17,Ingenieros-&-Especialistas
Hombre,Sur-Europa,Espana,Via-Ugo-Tarchetti-2 --Milano,48,0393274M,Mateo-Mir-Claudio,0,8,Casado/a,7,1970-08-09,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,3-Cardington-Street--London-EC3,74,2883594A,Arnoop-Olivia,3,13,Casado/a,15,1944-04-26,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,27A-Hay'S-Mews-(Green-Park)--London-SW1,61,1179657C,Calder-Eileen,0,9,Soltero/a,3,1957-01-19,Doctores-&-Profesionales-de-la-Salud
Hombre,Norteamerica,Estados-Unidos,75-Saint-Marks-Pl -New-York--NY-10006,42,1572922S,Sales-Joseph,0,15,Soltero/a,8,1976-09-25,Doctores-&-Profesionales-de-la-Salud
Empresa,Norte-Europa,Reino-Unido,65-Rue-de-l'Ouest---75003-Paris,89,3342388E,Eleven-Steakhouse,NULL,10,NULL,9,1929-09-24,Alimentacion
Empresa,Sur-Europa,Espana,Via-Arco-di-San-Callisto-40--Milano,41,0131098A,Azam,NULL,9,NULL,9,1977-08-06,Catering
Hombre,Norte-Europa,Reino-Unido,6-Avenue-Victor-Hugo---75003-Paris,97,1179675B,Bush-Edward,0,12,Soltero/a,13,1921-09-01,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,22-Park-Lane--London-EC1,55,2031631S,Shaver-Charles,0,7,Casado/a,6,1963-02-25,Doctores-&-Profesionales-de-la-Salud
Empresa,Norte-Europa,Reino-Unido,64-Kent-Road--Liverpool-L3-5UX,95,1048596N,Nyoka,NULL,11,NULL,15,1923-09-22,Servicios
Mujer,Sur-Europa,Espana,Via-Moneta-1/a --Milano,67,2162745S,Soto-Ros-Monica,0,9,Soltero/a,2,1951-11-21,Gerentes-&-Directivos
Hombre,Norteamerica,Estados-Unidos,413-Greenwich-St -New-York--NY-10008,74,3145744S,Skydel-Thomas,3,9,Casado/a,4,1944-11-25,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,3-Avenue-Raymond-Poincare---75015-Paris,42,1179659G,Grady-William,0,6,Soltero/a,4,1976-06-07,Ama-de-Casa
Empresa,Norte-Europa,Reino-Unido,10-42-King'S-Cross-Road--London-EC3,55,1900546t,th8,NULL,12,NULL,5,1963-02-19,Servicios
Hombre,Sur-Europa,Espana,Via-Conca-Del-Naviglio-20 --Milano,74,1441803G,Gonzalez-Herrera-Jorge,2,14,Casado/a,10,1944-02-23,Doctores-&-Profesionales-de-la-Salud
Empresa,Sur-Europa,Espana,Viale-Isonzo-2 --Milano,56,1310747N,Noelle,NULL,56,NULL,28,1962-02-02,Servicios
Mujer,Sur-Europa,Espana,Via-Sistina--42-Roma,98,3735590P,Pereira-Fernandez-Ines,1,11,Casado/a,2,1920-10-18,Ama-de-Casa
Mujer,Norte-Europa,Reino-Unido,Ashley-Lane--London-EC1,68,3145768W,Wiffort-Jane,0,7,Soltero/a,10,1950-02-21,Ingenieros-&-Especialistas
Mujer,Sur-Europa,Espana,C/-Lepanto-68-08022-Barcelona,81,2097195R,Roca-Sacristan-Pilar,3,12,Casado/a,13,1937-05-07,Ingenieros-&-Especialistas
Empresa,Sur-Europa,Espana,via-Gaeta--14-Roma,51,3866675D,Diner-Mexican-Restaurant,NULL,14,NULL,13,1967-06-24,Alimentacion
Hombre,Sur-Europa,Espana,Piazza-Mentana--7--Florencia,59,0393256C,Corrales-Diaz-Ramon,3,5,Casado/a,8,1959-04-21,Doctores-&-Profesionales-de-la-Salud
Empresa,Norte-Europa,Reino-Unido,12-Boulevard-de-l'Hopital---75003-Paris,91,4063264V,Valencia,NULL,13,NULL,8,1927-12-10,Servicios
Empresa,Norte-Europa,Reino-Unido,8-Rue-Victor-Cousin---75015-Paris,51,3801099A,Asli-Casa,NULL,12,NULL,5,1967-06-30,Alimentacion
Hombre,Sur-Europa,Espana,C/-Concilio-de-Trento-9-08032-Barcelona,82,2752547R,Riera-Herranz-Mateo,0,11,Casado/a,6,1936-01-30,Architectos-Decoradores-&-Humanistas
Empresa,Norteamerica,Estados-Unidos,1154-1st-Ave -New-York--NY-10008,48,2621443G,Grand-House,NULL,9,NULL,2,1970-05-17,Alimentacion
Hombre,Sur-Europa,Espana,Piazza-Gerusalemme-6 --Milano,40,3604510E,Esteban-Galan-Mauricio,0,10,Soltero/a,8,1978-03-14,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,51-Moscow-Road--Bayswater--London-NW1,108,3145784B,Bance-Tom,2,7,Casado/a,3,1910-08-23,Gerentes-&-Directivos
Mujer,Norteamerica,Estados-Unidos,27-Park-Pl -New-York--NY-10003,60,3211294B,Birch-Mary,0,12,Soltero/a,9,1958-12-20,Gerentes-&-Directivos
Hombre,Sur-Europa,Espana,via-Sistina--69-Roma,52,3145759E,Estrada-Guerrero-Ignacio,0,13,Casado/a,6,1966-09-16,Doctores-&-Profesionales-de-la-Salud
Empresa,Sur-Europa,Espana,C/-Lepanto-96-08027-Barcelona,54,2162705N,Northrop,NULL,11,NULL,8,1964-01-21,Catering
Empresa,Sur-Europa,Espana,Via-Senigallia-6 --Milano,44,0786460B,Better-Life,NULL,32,NULL,21,1974-10-10,Servicios
Hombre,Norteamerica,Estados-Unidos,Hialeah--FL-33014,74,1179697W,Wilkinson-Cristopher,2,17,Casado/a,14,1944-09-28,Gerentes-&-Directivos
Mujer,Sur-Europa,Espana,Tio-Caram-56-08020-Barcelona,60,1638433B,Blasco-Heredia-Isabel,0,7,Soltero/a,7,1958-12-01,Ama-de-Casa
Empresa,Sur-Europa,Espana,Industrial-Sant-Benet-37-08022-Barcelona,67,0327691C,Cortile-Restaurant,NULL,13,NULL,12,1951-01-30,Alimentacion
Hombre,Norteamerica,Estados-Unidos,162-11th-Ave -New-York--NY-10006,42,0458773H,Holmes-Ernest,0,7,Soltero/a,3,1976-07-10,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,Direccion--London-SW1,71,2883601A,Appleton-Tom,0,9,Casado/a,4,1947-04-18,Architectos-Decoradores-&-Humanistas
Hombre,Norteamerica,Estados-Unidos,41-Saint-Marks-Pl -New-York--NY-10005,71,1507349M,Mcgraw-Arthur,1,13,Divorciado/a,4,1947-03-15,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,128-King-Henry'S-Road--London-EC1,65,0000052R,Roberts-Eileen,0,8,Casado/a,6,1953-10-26,Doctores-&-Profesionales-de-la-Salud
Empresa,Norte-Europa,Reino-Unido,154-Rue-Montmartre---75003-Paris,89,2293818B,Bryce,NULL,14,NULL,11,1929-04-08,Catering
Mujer,Norte-Europa,Reino-Unido,74-Rue-du-Moulin-Vert---75001-Paris,68,0196659D,Dickinson-Caroline,3,9,Casado/a,7,1950-03-21,Ama-de-Casa
Hombre,Norte-Europa,Reino-Unido,Copthorne-Road--London-EC1,79,1966132G,Gadd-Frederick,0,8,Soltero/a,13,1939-03-16,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,Schwanthalerstrasse-8--Munchen,83,3735610S,Stratton-David,0,10,Soltero/a,5,1935-03-25,Ama-de-Casa
Mujer,Norte-Europa,Reino-Unido,31-35-Craven-Hill-Gardens--London-EC1,96,2228262W,Wigens-Dorothy,2,10,Casado/a,8,1923-01-08,Architectos-Decoradores-&-Humanistas
Mujer,Sur-Europa,Espana,Via-Porpora-18 --Milano,66,2621445L,Lopez-Martin-Irene,0,7,Casado/a,3,1952-05-12,Doctores-&-Profesionales-de-la-Salud
Hombre,Norte-Europa,Reino-Unido,6-Rue-Keppler---75003-Paris,93,0983075C,Corns-Tony,0,11,Casado/a,13,1925-12-20,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,Bayerstrasse-43--Munchen,102,1703949P,Porter-Helen,3,15,Divorciado/a,14,1916-03-14,Doctores-&-Profesionales-de-la-Salud
Hombre,Sur-Europa,Espana,Claudio-Coello--139--Madrid-28010,45,0655390B,Burguera-Liria-Ricardo,0,10,Divorciado/a,6,1973-02-09,Economistas-Abogados-&-Admin.Empresas
Hombre,Norteamerica,Estados-Unidos,28-Pell-St -New-York--NY-10006,52,2228282S,Santer-Tom,0,12,Soltero/a,6,1966-07-31,Architectos-Decoradores-&-Humanistas
Hombre,Norteamerica,Estados-Unidos,67-Wall-St -New-York--NY-10012,53,0786473S,Scanlon-Lewis,0,8,Soltero/a,13,1965-05-10,Economistas-Abogados-&-Admin.Empresas
Mujer,Norte-Europa,Reino-Unido,93-Pelham-Street--London-W2,78,3211296A,Arnoop-Deborah,0,10,Divorciado/a,3,1940-10-11,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,8-Rue-Victor-Cousin---75015-Paris,39,3276827G,Grady-Edgar,0,6,Soltero/a,5,1979-03-18,Architectos-Decoradores-&-Humanistas
Empresa,Sur-Europa,Espana,Via-Germanico--66-Roma,75,2228228T,Thai-Restaurant,NULL,12,NULL,12,1943-11-16,Alimentacion
Hombre,Norteamerica,Estados-Unidos,1159-W-68th-St -Hialeah--FL-33018,78,0524316B,Birch-Grant,4,8,Casado/a,9,1940-11-25,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,20-Pembridge-Gardens--London-EC1,62,1245197M,Mcgraw-Deborah,1,18,Casado/a,15,1956-05-09,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,35-Charles-Street--London-EC3,69,1179676D,Dickinson-Grant,3,8,Divorciado/a,5,1949-03-20,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,Via-Ludovico-Ariosto-22 --Milano,57,3473466F,Flores-Rengel-Andrea,0,16,Casado/a,14,1961-11-14,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,Sant-Vicent-Ferrer-53-08031-Barcelona,70,0589881R,Rovira-Soriano-Carmen,4,6,Casado/a,3,1948-11-10,Economistas-Abogados-&-Admin.Empresas
Empresa,Norteamerica,Estados-Unidos,1-New-York-Plz -New-York--NY-10012,41,0000059C,Caterers-Steakhouse,NULL,14,NULL,15,1977-08-18,Alimentacion
Hombre,Norteamerica,Estados-Unidos,117-Avenue-A -New-York--NY-10015,60,2228253H,Holdsworth-Peter,2,5,Casado/a,0,1958-12-22,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,27A-Hay'S-Mews-(Green-Park)--London-SW1,79,3014696L,Lewis-Donald,0,6,Casado/a,1,1939-03-12,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,6-Rue-Jolivet---75002-Paris,103,2097171E,Efemey-Gregory,1,7,Casado/a,11,1916-01-06,Ama-de-Casa
Hombre,Sur-Europa,Espana,Marques-de-Casa-Riera--4--Madrid-28011,67,0917555M,Molina-Escriche-Ramon,0,5,Soltero/a,3,1951-10-28,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,5-Impasse-Royer-Collard---75003-Paris,84,2293778A,Alan-Agatha,2,11,Divorciado/a,13,1935-01-02,Doctores-&-Profesionales-de-la-Salud
Hombre,Norteamerica,Estados-Unidos,249-W-26th-St -New-York--NY-10004,41,0786451E,Edmonson-Lewis,0,5,Soltero/a,5,1977-11-15,Economistas-Abogados-&-Admin.Empresas
Mujer,Norteamerica,Estados-Unidos,158-Delancey-St -New-York--NY-10005,40,1769488G,Griffin-Eileen,0,10,Soltero/a,3,1978-02-24,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,19-Old-Park-Lane-(Hyde-Park-Corner)--London-NW1,61,3473428H,Holmes-Caroline,1,12,Casado/a,16,1957-02-25,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,Leopoldstrasse-194--Munchen,63,0655361T,Trow-Alfred,0,10,Casado/a,13,1955-11-01,Doctores-&-Profesionales-de-la-Salud
Mujer,Sur-Europa,Espana,Via-Piacenza-4 --Milano,74,1703941B,Blasco-Heredia-Emilia,0,13,Casado/a,21,1944-09-12,Ingenieros-&-Especialistas
Hombre,Sur-Europa,Espana,Ausias-March-39-08033-Barcelona,42,2162737C,Corrales-Diaz-Ernesto,0,7,Soltero/a,2,1976-10-08,Doctores-&-Profesionales-de-la-Salud
Mujer,Sur-Europa,Espana,Corso-Buenos-Aires-33 --Milano,73,1114117S,Serralta-Rodrigo-Cecilia,0,6,Casado/a,2,1945-09-21,Ingenieros-&-Especialistas
Hombre,Norte-Europa,Reino-Unido,Hochstrasse-45--Munchen,40,3473444P,Price-Denis,0,7,Soltero/a,1,1978-10-23,Doctores-&-Profesionales-de-la-Salud
Mujer,Sur-Europa,Espana,Jaume-El-Conqueridor-67-08026-Barcelona,78,1769479C,Calvo-Alonso-Meritxell,0,5,Casado/a,9,1940-03-16,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,29-Old-Burlington-Street--London-NW1,67,1638442G,Gentle-Esther,1,11,Casado/a,5,1951-06-12,Ama-de-Casa
Hombre,Sur-Europa,Espana,via-ario-de'-Fiori--61-Roma,81,4128794B,Bosch-Perez-MiguelAngel,0,5,Soltero/a,7,1937-02-25,Architectos-Decoradores-&-Humanistas
Mujer,Norteamerica,Estados-Unidos,16-E-52nd-St-Frnt -New-York--NY-10009,55,1507356D,Dickinson-Eve,3,13,Casado/a,13,1963-08-24,Doctores-&-Profesionales-de-la-Salud
Hombre,Sur-Europa,Espana,P.-S.-Cosimato-39--Milano,74,2359344R,Riera-Herranz-Joan,1,8,Casado/a,8,1944-05-14,Architectos-Decoradores-&-Humanistas
Mujer,Norte-Europa,Reino-Unido,18-Avenue-des-Gobelins---75003-Paris,81,0393234E,Edmonson-Adeline,2,11,Casado/a,8,1937-07-10,Gerentes-&-Directivos
Hombre,Norte-Europa,Reino-Unido,6-Rue-de-la-Tour---75002-Paris,73,1966141H,Hacker-Jhon,2,9,Casado/a,5,1945-05-30,Ama-de-Casa
Hombre,Sur-Europa,Espana,Viale-Isonzo-2 --Milano,56,0655401R,Ribas-Cuerva-Roger,1,9,Divorciado/a,3,1962-09-19,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,98-Pinkston-RoadAon-Drive--Liverpool-L69-7HY,71,2097162S,Shepherd-Olivia,2,9,Casado/a,7,1947-07-25,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,40-Rue-Vivienne---75003-Paris,70,2359328W,Walker-Demi,0,18,Casado/a,22,1948-07-19,Economistas-Abogados-&-Admin.Empresas
Empresa,Norte-Europa,Reino-Unido,Grosvenor-House--90-Park-Lane--London-SW1,40,1900573C,Coffee-Casa,NULL,6,NULL,10,1978-04-30,Alimentacion
Hombre,Norte-Europa,Reino-Unido,34-Charlotte-Street-(Bloomsbury)--London-SW1,83,0262186A,Alan-Peter,2,11,Casado/a,9,1935-11-30,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,Greville-Street--Hatton-Garden--London-SW1,55,0983068W,Walsh-Eve,3,14,Viudo/a,6,1963-04-19,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,Arenal--15--Madrid-28020,55,3604525M,Montoro-Ortiz-Lorenzo,0,8,Soltero/a,13,1963-08-03,Ingenieros-&-Especialistas
Hombre,Sur-Europa,Espana,Corso-Europa-9 --Milano,51,0131082S,Salas-Figueroa-Mauricio,0,7,Casado/a,6,1967-08-02,Doctores-&-Profesionales-de-la-Salud
Mujer,Norte-Europa,Reino-Unido,Franz-Joseph-Str.-28--Munchen,81,0852020G,Gadd-Helen,1,8,Casado/a,2,1938-01-08,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,C/-Palomares-6-08023-Barcelona,52,1966121S,Serralta-Rodrigo-Ernesto,2,7,Casado/a,1,1966-04-05,Economistas-Abogados-&-Admin.Empresas
Hombre,Sur-Europa,Espana,Toledo--111--Madrid-28019,86,2883638M,Marti-Marquez-Agustin,3,8,Casado/a,13,1932-06-29,Economistas-Abogados-&-Admin.Empresas
Empresa,Sur-Europa,Espana,Via-Castelfidaro-2 --Milano,58,3211283H,Havana,NULL,10,NULL,4,1960-03-28,Servicios
Mujer,Sur-Europa,Espana,Alarcon-94-08015-Barcelona,70,2621464P,Piqueras-Nieto-Itziar,3,12,Divorciado/a,19,1948-09-27,Ama-de-Casa
Hombre,Sur-Europa,Espana,Santa-Teresa-Jornet-76-08010-Barcelona,73,0131076F,Ferrero-Bautista-Jorge,3,8,Divorciado/a,2,1946-01-11,Doctores-&-Profesionales-de-la-Salud
Hombre,Sur-Europa,Espana,viale-Ippocrate--119-Roma,73,2359304R,Rovira-Soriano-Xavi,2,10,Casado/a,4,1945-04-08,Gerentes-&-Directivos
Mujer,Norteamerica,Estados-Unidos,195-Ravenswood-Rd -Fort-Lauderdale--FL-33030,104,2162689M,Morris-Jennifer,2,9,Casado/a,6,1914-12-04,Economistas-Abogados-&-Admin.Empresas
Mujer,Sur-Europa,Espana,Alberri-18-08017-Barcelona,87,1835059C,Carrasco-Carmona-Julia,1,10,Divorciado/a,3,1931-07-28,Architectos-Decoradores-&-Humanistas
Hombre,Norte-Europa,Reino-Unido,Neufeldstrasse-20--Munchen,76,3276801B,Bance-James,0,10,Soltero/a,11,1942-12-19,Gerentes-&-Directivos
Mujer,Norte-Europa,Reino-Unido,26-Rue-Pierre-Lescot---75003-Paris,60,1835022K,Kodan-Caroline,2,12,Casado/a,9,1958-09-14,Doctores-&-Profesionales-de-la-Salud
Mujer,Sur-Europa,Espana,Via-Napo-Torriani-24 --Milano,46,2097206A,Aparicio-Arques-Pilar,1,8,Casado/a,9,1972-02-01,Economistas-Abogados-&-Admin.Empresas
Mujer,Norte-Europa,Reino-Unido,14-16-Queensway--London-NW1,63,4063241L,Locklin-Deborah,2,10,Divorciado/a,10,1955-07-26,Doctores-&-Profesionales-de-la-Salud
Mujer,Norteamerica,Estados-Unidos,211-Avenue-A -New-York--NY-10015,62,0000018H,Hall-Mary,0,8,Casado/a,1,1956-03-17,Economistas-Abogados-&-Admin.Empresas
Mujer,Norteamerica,Estados-Unidos,56-3rd-Ave -New-York--NY-10011,70,3211305E,Edmonson-Caroline,0,10,Soltero/a,6,1948-03-10,Economistas-Abogados-&-Admin.Empresas
Mujer,Norteamerica,Estados-Unidos,442-E-14th-St-Fl-1 -New-York--NY-10011,99,3080198K,Kodan-Elisabeth,0,5,Casado/a,0,1919-05-04,Ingenieros-&-Especialistas
Empresa,Sur-Europa,Espana,Via-Buozzi-2 --Milano,88,2097157G,Goodfellow's-The,NULL,103,NULL,48,1930-10-31,Servicios
Hombre,Sur-Europa,Espana,Via-Santo-Spirito-20 --Milano,83,0524334V,Velazquez-Vico-Valentin,3,8,Divorciado/a,4,1935-10-02,Economistas-Abogados-&-Admin.Empresas
Hombre,Norte-Europa,Reino-Unido,15-Bury-St--St-James'S--London-NW1,58,3342362J,Jones-James,0,11,Casado/a,9,1960-07-15,Ingenieros-&-Especialistas
Mujer,Norte-Europa,Reino-Unido,Loristr.-14--Munchen,73,3866683C,Coleman-Dorothy,0,6,Casado/a,1,1945-05-20,Ingenieros-&-Especialistas
